"plugin_name","plugin_author","num_downloads","description","repo_url"
"Linked Data Vocabularies","By kometenstaub","1,125 downloads","Add Library of Congress Subject Headings (LCSH) as metadata to your notes.","https://github.com/kometenstaub/linked-data-vocabularies"
"Second Window","By Jeremy Valentine","8,865 downloads","Allow images & notes to be viewed in new Obsidian windows.","https://github.com/javalent/second-window"
"Solve","By Liam Riddell","123 downloads","Your Math Maestro! Real-time calculations without AI (e.g. ChatGPT) fuss. From date magic ('Now + 20 days') to arithmetic flair ('10 + 5 / (2 * 2)'), your trusted sidekick in every note. More brilliance on the way!","https://github.com/LiamRiddell/obsidian-solve"
"Auto Link Title","By Matt Furden","82,141 downloads","Automatically fetches the titles of links from the web.","https://github.com/zolrath/obsidian-auto-link-title"
"Wikilinks to MDLinks","By Agatha Uy","10,360 downloads","Convert wikilinks to Markdown links and vice versa.","https://github.com/agathauy/wikilinks-to-mdlinks-obsidian"
"Markdown Furigana","By Steven Kraft","5,069 downloads","Simple Markdown to Furigana Rendering Plugin for Obsidian.","https://github.com/steven-kraft/obsidian-markdown-furigana"
"Auto Split","By James Sartelle","3,596 downloads","Open notes with split editor & preview.","https://github.com/jsartelle/obsidian-auto-split"
"Homepage","By mirnovov","198,396 downloads","Open a specified note, canvas, or workspace on startup, or set it for quick access later.","https://github.com/mirnovov/obsidian-homepage"
"Daily Activity","By trydalch","7,994 downloads","This outputs a list of the files changed/created today in the active file.","https://github.com/trydalch/obsidian-daily-activity"
"Text Wrapper","By smx0","630 downloads","Quickly wrap selected text with HTML tags by using a shortcut or from the command palette.","https://github.com/smx0/obs-text-wrapper"
"Reading View Enhancer","By Galacsh","558 downloads","Enhances reading view. Use arrow keys to fold/unfold elements.","https://github.com/Galacsh/obsidian-reading-view-enhancer"
"Recall","By Martin Jirlow","4,091 downloads","A flexible and configurable spaced repetition plugin with multiple algorithms to choose from.","https://github.com/martin-jw/obsidian-recall"
"Excalidraw","By Zsolt Viczian","1,056,673 downloads","Edit and view Excalidraw drawings.","https://github.com/zsviczian/obsidian-excalidraw-plugin"
"CSS Editor","By Zachatoo","542 downloads","Edit CSS snippet files within Obsidian.","https://github.com/Zachatoo/obsidian-css-editor"
